Area,Locality,Age,Crime ratio,Nitrogen/CO2 percentage,Adult to Children ratio,Earthquake zone,Government projects,Natural calamities,Rental / Monthly commercial income,ROI,Trend of property cost,Reputation of property developer,Current pricing,Scalable property
4033,Rural Area G,30,0.94,37.97,7.09,Moderate risk zone,Renovation of public parks,FALSE,5320.83,78.81,Stable,Average,424777.08,FALSE
4489,Hamlet E,28,0.99,77.39,0.74,Moderate risk zone,Construction of new schools,TRUE,3913.33,20.88,Increasing,Terrible,159583.47,FALSE
1906,Rural Area G,26,0.97,98.07,3.26,Moderate risk zone,Infrastructure development in rural areas,TRUE,6157.56,98.72,Increasing,Average,131641.21,FALSE
5278,City A,30,0.23,13.21,4.78,High risk zone,Expansion of public transportation system,FALSE,4009.27,66.68,Increasing,Poor,393348.96,TRUE
5435,Suburb D,40,0.16,57.37,6.75,Low risk zone,Expansion of public transportation system,TRUE,7843.04,60.4,Stable,Poor,44462.81,FALSE
8205,Coastal Area J,7,0.99,42.68,3.23,Moderate risk zone,Infrastructure development in rural areas,FALSE,7769.51,62.26,Decreasing,Average,469359.43,TRUE
9127,Suburb D,12,0.1,55.54,9.77,Moderate risk zone,Renovation of public parks,FALSE,3141.44,96.45,Stable,Poor,525222.4,TRUE
2065,Coastal Area J,30,0.58,28.25,8.44,Low risk zone,Expansion of public transportation system,TRUE,9867.1,8.75,Increasing,Average,934562.29,TRUE
1369,Town B,18,0.89,93.3,9.04,Moderate risk zone,Construction of new schools,FALSE,5961.75,10.62,Stable,Average,512692.7,FALSE
2051,City A,3,0.3,76.32,1.97,Moderate risk zone,Construction of new schools,FALSE,8526.49,59.51,Stable,Excellent,628810.74,FALSE
1786,Town B,40,0.75,87.88,2.43,Moderate risk zone,Expansion of public transportation system,TRUE,848.34,33.7,Stable,Good,326349.26,TRUE
3856,Suburb D,36,0.04,75.36,2.74,Low risk zone,Expansion of public transportation system,TRUE,994.72,99.39,Increasing,Terrible,473048.04,TRUE
3951,Coastal Area J,2,0.89,4.71,7.94,Moderate risk zone,Renovation of public parks,TRUE,3086.11,97.75,Decreasing,Terrible,971784.07,TRUE
2512,Rural Area G,24,0.6,54.2,9.42,High risk zone,Infrastructure development in rural areas,FALSE,9039.52,63.01,Increasing,Excellent,269749.66,FALSE
4548,Village C,17,0.14,49.34,5.29,Low risk zone,Renovation of public parks,TRUE,7107.87,83.95,Decreasing,Excellent,995813.54,TRUE
4666,Coastal Area J,44,0.29,62.18,2.6,Moderate risk zone,Renovation of public parks,FALSE,2103.63,59.86,Increasing,Average,738577.77,TRUE
4133,Suburb D,33,0.75,30.27,5.77,Moderate risk zone,Expansion of public transportation system,TRUE,9941.09,18,Stable,Poor,169952.76,FALSE
1499,Neighborhood F,9,0.81,17.46,6.63,Moderate risk zone,Renovation of public parks,TRUE,1225.93,64.3,Decreasing,Good,82699.55,TRUE
1374,City A,26,0.34,28.81,6.04,Moderate risk zone,Infrastructure development in rural areas,TRUE,1449.75,78.77,Stable,Terrible,444367.58,FALSE
2567,Hamlet E,26,0.15,54.38,5.95,Low risk zone,Construction of new schools,FALSE,7823.6,4.84,Stable,Excellent,627278.74,FALSE
5788,Village C,24,0.21,97.24,8.99,Moderate risk zone,Infrastructure development in rural areas,TRUE,7255.03,99.12,Increasing,Good,143131.53,FALSE
1281,Urban Area H,36,0.03,40.92,7.25,Moderate risk zone,Renovation of public parks,TRUE,6195.98,56.58,Decreasing,Terrible,515569.61,FALSE
1570,Village C,23,0.98,62.29,4.95,Moderate risk zone,Construction of new schools,FALSE,1061.38,46.48,Stable,Poor,241793.88,TRUE
9953,Town B,9,0.24,71.27,1.79,Moderate risk zone,Infrastructure development in rural areas,FALSE,3560.71,52.38,Stable,Good,431581.91,FALSE
2739,Rural Area G,41,0.69,76.17,4.23,Low risk zone,Expansion of public transportation system,TRUE,1032.15,4.28,Decreasing,Excellent,476915.6,TRUE
9250,Countryside I,35,0.54,17.55,4.49,Moderate risk zone,Renovation of public parks,FALSE,9496.04,96.05,Decreasing,Terrible,653430.58,TRUE
7275,Rural Area G,45,0.22,22.33,8.52,High risk zone,Renovation of public parks,TRUE,1572.24,80.47,Decreasing,Excellent,428010.41,FALSE
9236,Countryside I,40,0.06,5.41,7.22,Low risk zone,Construction of new schools,FALSE,3584.68,98.33,Increasing,Poor,674845.97,TRUE
8165,Village C,23,0.27,69.02,7.63,High risk zone,Infrastructure development in rural areas,FALSE,9384.79,15.1,Stable,Excellent,670838.59,FALSE
8150,City A,8,0.4,84.93,8.53,Low risk zone,Construction of new schools,TRUE,6876.8,60.53,Decreasing,Terrible,403083.22,TRUE
5064,Rural Area G,37,0.56,76.61,4.75,High risk zone,Infrastructure development in rural areas,FALSE,389.83,85.03,Decreasing,Excellent,142434.67,FALSE
5697,Coastal Area J,37,0.03,41.03,3.38,Low risk zone,Expansion of public transportation system,TRUE,79.36,73.69,Stable,Poor,696550.49,FALSE
8892,City A,34,0.27,90.2,1.3,Low risk zone,Construction of new schools,FALSE,904.09,85.6,Decreasing,Good,694845.11,FALSE
7459,Rural Area G,43,0.46,95.97,2.24,Moderate risk zone,Infrastructure development in rural areas,FALSE,3261.55,26.93,Stable,Excellent,738551.68,FALSE
1546,Coastal Area J,16,0.54,41.13,4.54,Low risk zone,Renovation of public parks,TRUE,7712.07,28.13,Decreasing,Good,676295.72,FALSE
8786,Town B,46,0.52,85.93,0.45,High risk zone,Renovation of public parks,FALSE,3272.88,0.43,Increasing,Poor,865162.2,FALSE
7614,Countryside I,47,0.72,90.25,6.1,Low risk zone,Construction of new schools,FALSE,2556.96,37.42,Stable,Poor,983643.02,FALSE
5028,Suburb D,34,0.86,67.1,1.15,Moderate risk zone,Infrastructure development in rural areas,TRUE,9645.35,61.09,Increasing,Excellent,512103.96,FALSE
4801,Coastal Area J,47,0.98,19.64,8.95,Low risk zone,Expansion of public transportation system,FALSE,3667.25,77.29,Increasing,Good,259157.94,FALSE
5443,Rural Area G,18,0.77,23.29,0.98,Low risk zone,Construction of new schools,FALSE,118.09,12.58,Decreasing,Average,674661.14,FALSE
8633,Urban Area H,32,0.32,34.52,3.11,Moderate risk zone,Renovation of public parks,TRUE,2639.35,24.85,Increasing,Excellent,532847.77,FALSE
8685,Hamlet E,8,0.18,18.91,9.85,High risk zone,Infrastructure development in rural areas,FALSE,7994.83,5.62,Increasing,Terrible,258912.31,TRUE
4078,Suburb D,41,0.93,26.35,5.14,High risk zone,Renovation of public parks,FALSE,3911.19,34.63,Stable,Excellent,316170.25,TRUE
5936,Town B,45,0.07,1.37,6.43,Moderate risk zone,Expansion of public transportation system,TRUE,4447.26,10.06,Decreasing,Terrible,37189.17,TRUE
6174,Town B,34,0.01,19.6,8.38,High risk zone,Expansion of public transportation system,FALSE,2389.05,41.71,Stable,Poor,473345.27,TRUE
3679,Countryside I,46,0.01,33.14,6.2,Moderate risk zone,Renovation of public parks,FALSE,1263.46,97.61,Increasing,Terrible,625117.62,TRUE
4186,Urban Area H,27,0.28,54.04,9.56,Moderate risk zone,Infrastructure development in rural areas,FALSE,6081.37,65.85,Increasing,Excellent,436065.91,TRUE
4578,Rural Area G,35,0.3,23.28,5.52,Low risk zone,Infrastructure development in rural areas,FALSE,7230.88,87.03,Increasing,Good,385509.1,TRUE
7509,Town B,40,0.04,53.01,7.58,Moderate risk zone,Expansion of public transportation system,TRUE,2833.53,96.12,Stable,Average,766467.98,FALSE
9077,Village C,10,0.14,26.41,1.15,Low risk zone,Construction of new schools,FALSE,3605.46,21.47,Increasing,Poor,296390.24,TRUE
8321,Hamlet E,15,0.22,10.69,4.82,High risk zone,Expansion of public transportation system,TRUE,4746.97,53.1,Stable,Excellent,40604.91,TRUE
7805,Village C,34,0.08,47.75,8.17,Low risk zone,Infrastructure development in rural areas,TRUE,2363.02,19.82,Decreasing,Good,599559.46,FALSE
3971,Countryside I,16,0.68,67.01,4.41,Low risk zone,Infrastructure development in rural areas,TRUE,30.52,15.46,Decreasing,Good,684114.03,TRUE
2007,City A,16,0.18,7.69,4.01,Moderate risk zone,Construction of new schools,FALSE,6670.81,83.66,Decreasing,Good,83148.31,FALSE
1680,Rural Area G,19,0,9.87,9.72,Moderate risk zone,Renovation of public parks,TRUE,1052.77,56.21,Increasing,Poor,832305.4,TRUE
8067,Neighborhood F,1,0.12,55.11,9.33,Moderate risk zone,Expansion of public transportation system,FALSE,3203.3,34.04,Increasing,Excellent,864418.36,TRUE
4779,Town B,2,0.75,9.26,9.24,Moderate risk zone,Construction of new schools,FALSE,4625.18,71.27,Decreasing,Terrible,401618.97,FALSE
2500,Countryside I,48,0.49,97.65,8.43,High risk zone,Expansion of public transportation system,TRUE,1719.16,60.36,Stable,Terrible,93943.6,TRUE
6826,Village C,26,0.72,85.69,5.02,High risk zone,Expansion of public transportation system,TRUE,3759.82,11.32,Stable,Terrible,768814.97,TRUE
8079,Suburb D,3,0.27,22.08,9.61,Moderate risk zone,Expansion of public transportation system,FALSE,597.22,13.32,Decreasing,Excellent,900455.1,TRUE
6784,Suburb D,18,0.37,61.15,6.02,Moderate risk zone,Expansion of public transportation system,TRUE,1188.21,91.12,Decreasing,Good,813799.92,TRUE
8696,Town B,14,0.56,88.06,3.76,Moderate risk zone,Expansion of public transportation system,FALSE,6748.43,49.41,Increasing,Excellent,779675.34,FALSE
8243,Hamlet E,32,0.84,39.92,2.95,Moderate risk zone,Construction of new schools,FALSE,9121.55,79.47,Decreasing,Terrible,313175.87,TRUE
9186,Countryside I,4,0.5,57.3,3.16,High risk zone,Expansion of public transportation system,TRUE,4854.19,83.6,Decreasing,Good,242555.94,TRUE
3058,Urban Area H,1,0.34,68.39,0.7,High risk zone,Renovation of public parks,FALSE,6893.9,15.88,Increasing,Terrible,274088.46,FALSE
3025,Urban Area H,20,0.64,79.26,3.93,Moderate risk zone,Expansion of public transportation system,TRUE,5370.03,8.99,Decreasing,Average,396371.51,TRUE
5290,City A,50,0.15,85.4,0.58,High risk zone,Infrastructure development in rural areas,TRUE,696.99,39.56,Increasing,Excellent,538062.32,TRUE
7905,Urban Area H,11,0.26,83.46,6.56,Moderate risk zone,Expansion of public transportation system,TRUE,1928.61,59.01,Increasing,Poor,943890.58,TRUE
4235,Neighborhood F,38,0.37,26.83,9.48,Moderate risk zone,Infrastructure development in rural areas,FALSE,9999.61,74.83,Increasing,Good,213100.98,FALSE
6995,City A,22,0.93,31.41,8.2,Moderate risk zone,Expansion of public transportation system,TRUE,6307.88,62.54,Decreasing,Terrible,472215.53,TRUE
5096,Suburb D,46,0.46,20.79,5.32,High risk zone,Infrastructure development in rural areas,FALSE,5443.87,1.78,Decreasing,Poor,317522.68,TRUE
2480,Rural Area G,38,0.32,13.98,2.61,Moderate risk zone,Infrastructure development in rural areas,FALSE,9518.8,91.76,Stable,Average,260296.14,TRUE
9752,Urban Area H,23,0.36,53.76,3.85,High risk zone,Construction of new schools,TRUE,9992.3,69.55,Increasing,Good,36491.91,FALSE
6457,Countryside I,27,0.57,94.71,9.17,Moderate risk zone,Construction of new schools,TRUE,6682.79,75.86,Decreasing,Terrible,920566.97,FALSE
7526,City A,48,0.24,21.62,4.78,Moderate risk zone,Expansion of public transportation system,TRUE,4555.63,47.97,Decreasing,Excellent,910921.74,FALSE
5297,Suburb D,8,0.07,31.18,1.38,High risk zone,Expansion of public transportation system,TRUE,8492.5,18.47,Increasing,Terrible,360933.11,TRUE
9279,Neighborhood F,46,0.18,0.67,3.05,High risk zone,Expansion of public transportation system,FALSE,5033.87,5.23,Decreasing,Excellent,869231.23,FALSE
3518,Neighborhood F,45,0.43,7.23,8.51,Moderate risk zone,Expansion of public transportation system,FALSE,8197.32,39.42,Stable,Excellent,790696.37,FALSE
3471,Suburb D,46,0.72,37.54,7.38,High risk zone,Renovation of public parks,TRUE,9537.7,5.06,Increasing,Terrible,678870.72,TRUE
8952,Rural Area G,10,0.27,25.85,5.81,Moderate risk zone,Infrastructure development in rural areas,FALSE,8465.45,14.61,Increasing,Terrible,618716.22,TRUE
4759,Countryside I,43,0.65,20.53,8.47,Low risk zone,Renovation of public parks,FALSE,9643.88,57.97,Decreasing,Average,788581.94,FALSE
3618,Town B,3,0.55,76.49,4.66,Moderate risk zone,Construction of new schools,TRUE,4203.07,84.83,Increasing,Poor,586423.46,FALSE
4913,Town B,15,0.8,13.82,7.27,Moderate risk zone,Infrastructure development in rural areas,FALSE,8836.64,81.59,Increasing,Poor,507589.77,TRUE
7440,Urban Area H,49,0.86,64.61,7.95,High risk zone,Renovation of public parks,FALSE,5020.43,73.72,Decreasing,Terrible,163555.25,TRUE
5509,City A,11,0.85,48.87,1.42,Low risk zone,Construction of new schools,FALSE,528.39,60.63,Stable,Poor,671671.35,TRUE
4974,City A,39,0.45,17.01,2.13,Low risk zone,Expansion of public transportation system,FALSE,2526.29,38.55,Increasing,Good,196655.35,TRUE
7492,Village C,46,0.68,63.88,0.72,Low risk zone,Infrastructure development in rural areas,TRUE,7141.48,92.36,Stable,Good,205015.35,TRUE
8465,Hamlet E,15,0.79,29.01,7.36,High risk zone,Construction of new schools,TRUE,6200.2,62.48,Increasing,Average,582831.93,FALSE
4015,Hamlet E,33,0.42,66.42,3.74,Moderate risk zone,Renovation of public parks,TRUE,1738.4,12.83,Stable,Terrible,206858.15,FALSE
1833,Neighborhood F,42,0.48,83.46,4.7,High risk zone,Expansion of public transportation system,TRUE,6556.09,14.86,Increasing,Excellent,322645.31,FALSE
8034,Urban Area H,10,0.12,96.52,8.61,High risk zone,Construction of new schools,TRUE,6418.59,2.7,Stable,Good,772486.87,TRUE
4606,Town B,35,0.86,33.4,6.92,Low risk zone,Infrastructure development in rural areas,TRUE,8298.88,9.27,Increasing,Terrible,789639.63,TRUE
9877,Village C,3,0.52,45.75,9.73,Moderate risk zone,Renovation of public parks,TRUE,4768.74,17.34,Stable,Poor,178045.5,TRUE
3424,Countryside I,7,0.76,44.59,2.21,Low risk zone,Infrastructure development in rural areas,TRUE,7705.82,86.14,Decreasing,Terrible,999195.35,FALSE
2209,Urban Area H,17,0.71,53.14,6.44,Moderate risk zone,Expansion of public transportation system,TRUE,2392.19,32.76,Stable,Excellent,137961.47,TRUE
9484,Neighborhood F,38,0.03,54.53,5.07,High risk zone,Infrastructure development in rural areas,FALSE,7598.07,99.82,Increasing,Poor,132513.36,TRUE
5661,Suburb D,40,0.26,56.06,4.12,Low risk zone,Expansion of public transportation system,TRUE,9439.47,89,Decreasing,Average,879643.12,FALSE
4052,Urban Area H,37,0.02,77.31,0.57,Moderate risk zone,Expansion of public transportation system,TRUE,7708.63,23.09,Stable,Poor,960281.33,FALSE
1500,Village C,36,0.8,41.15,5.68,Low risk zone,Construction of new schools,FALSE,8944.13,37.53,Increasing,Poor,956756.59,TRUE
4873,Coastal Area J,5,0.22,83.56,8.93,Low risk zone,Infrastructure development in rural areas,TRUE,4443.62,67.03,Stable,Poor,633230.37,TRUE
2633,Rural Area G,40,0.49,24.26,2.49,Moderate risk zone,Renovation of public parks,TRUE,9257.36,20.7,Increasing,Excellent,156606.18,TRUE
4608,Rural Area G,28,0.74,14.84,5.76,Low risk zone,Expansion of public transportation system,FALSE,8779.32,41.83,Decreasing,Average,141138.4,TRUE
4663,City A,34,0.98,65.72,7.8,Moderate risk zone,Infrastructure development in rural areas,TRUE,2529.21,76.82,Increasing,Average,268124.14,TRUE
5343,City A,29,0.83,63.88,7.64,Moderate risk zone,Construction of new schools,TRUE,5495.57,52.05,Decreasing,Good,728257.75,TRUE
8682,Suburb D,22,0.43,41.56,0.11,Low risk zone,Expansion of public transportation system,TRUE,9530.99,83.36,Stable,Excellent,759386.12,FALSE
4661,Neighborhood F,21,0.57,42.04,1.56,High risk zone,Construction of new schools,TRUE,8957.86,94.35,Increasing,Terrible,792260.09,TRUE
8848,Neighborhood F,14,0.76,39.85,8.62,Low risk zone,Infrastructure development in rural areas,TRUE,4954.38,14.62,Decreasing,Terrible,270241.99,FALSE
6600,Coastal Area J,23,0.88,67.97,4.07,Low risk zone,Infrastructure development in rural areas,TRUE,1527.32,93.47,Increasing,Excellent,903104.61,TRUE
4461,Coastal Area J,2,0.45,83.61,4.4,Low risk zone,Renovation of public parks,TRUE,2058.17,34.77,Decreasing,Poor,123192.79,TRUE
8441,Village C,28,0.38,70.36,5.66,High risk zone,Construction of new schools,TRUE,9063.64,57.62,Increasing,Good,300130.31,FALSE
3833,Suburb D,1,0.29,57.44,4.85,High risk zone,Construction of new schools,FALSE,713.16,81.46,Decreasing,Good,685097.62,TRUE
9441,Neighborhood F,3,0.01,68.14,2.9,High risk zone,Construction of new schools,TRUE,596.26,94.7,Increasing,Average,168309.32,FALSE
3452,Coastal Area J,26,0.22,53.74,1.51,Moderate risk zone,Expansion of public transportation system,FALSE,3116.69,23.81,Decreasing,Excellent,856222.68,FALSE
2486,Rural Area G,35,0.45,77.54,9.7,Low risk zone,Infrastructure development in rural areas,FALSE,5713.28,71.37,Decreasing,Good,474280.71,TRUE
6752,Town B,9,0.62,75.4,0.37,Low risk zone,Construction of new schools,FALSE,6758.02,47.18,Increasing,Poor,502287.7,FALSE
2742,Town B,27,0.26,61.11,6.74,High risk zone,Renovation of public parks,FALSE,8281.07,96.21,Increasing,Excellent,202397.98,TRUE
2376,Town B,50,0.32,6.1,8.21,Low risk zone,Renovation of public parks,FALSE,3960.53,93.08,Stable,Good,756060.32,TRUE
3925,Suburb D,27,0.69,3.51,8.01,High risk zone,Construction of new schools,TRUE,5233.52,71.44,Increasing,Average,308109.42,TRUE
9813,Countryside I,50,0.18,58.37,1.9,Moderate risk zone,Renovation of public parks,TRUE,6935.42,45.69,Stable,Poor,883862.54,TRUE
6292,Village C,47,0.09,36.94,2.67,Moderate risk zone,Infrastructure development in rural areas,FALSE,2070.78,56.52,Increasing,Poor,443171.11,TRUE
9825,City A,35,0.57,64.04,9.29,Moderate risk zone,Renovation of public parks,FALSE,3669.92,60.65,Decreasing,Good,748536.09,TRUE
4782,Hamlet E,37,0.74,54.84,2.91,Moderate risk zone,Infrastructure development in rural areas,FALSE,2801.95,84.69,Increasing,Average,190685.74,TRUE
2022,Hamlet E,2,0.76,91.39,0.7,Low risk zone,Infrastructure development in rural areas,TRUE,5297.89,28.83,Stable,Good,848631.5,TRUE
8688,Countryside I,49,0.59,51.88,8.37,High risk zone,Infrastructure development in rural areas,TRUE,5528.2,55.72,Stable,Average,788469.52,TRUE
8821,Coastal Area J,47,0.49,50.59,4.43,Moderate risk zone,Construction of new schools,FALSE,8182.65,35.27,Decreasing,Poor,827075.65,FALSE
9983,Town B,12,0.39,30.05,9.35,Moderate risk zone,Expansion of public transportation system,TRUE,7122.27,94.32,Increasing,Poor,513908.33,FALSE
2018,Rural Area G,18,0.39,90.68,4.23,High risk zone,Infrastructure development in rural areas,FALSE,9442.13,39.31,Increasing,Average,584694.27,FALSE
4337,Village C,40,0.88,93.44,4.88,Moderate risk zone,Construction of new schools,TRUE,6488.89,95.9,Stable,Average,265795.5,TRUE
9082,Urban Area H,8,0.43,3.72,3.46,Moderate risk zone,Construction of new schools,TRUE,3930.03,74.21,Decreasing,Poor,208913.22,FALSE
4707,Suburb D,17,0.34,88.24,5.4,High risk zone,Construction of new schools,FALSE,4124.93,83.5,Stable,Average,968341.78,TRUE
4302,Rural Area G,46,0.77,8.98,4.03,Low risk zone,Expansion of public transportation system,TRUE,5103.73,68.62,Increasing,Average,724781.48,FALSE
7656,Suburb D,5,0.43,69.99,7.98,Moderate risk zone,Expansion of public transportation system,FALSE,1362.37,64,Increasing,Terrible,186730.59,TRUE
8199,Neighborhood F,27,0.51,48.43,7.35,Low risk zone,Renovation of public parks,FALSE,6970.76,43.62,Stable,Good,136207.14,FALSE
2978,Village C,41,0.01,28.18,9.83,Low risk zone,Construction of new schools,TRUE,8817.03,35.25,Decreasing,Good,363391.77,TRUE
4874,Neighborhood F,26,0.64,11.03,1.32,High risk zone,Construction of new schools,TRUE,5543.59,62.07,Stable,Good,598091.3,TRUE
6333,Hamlet E,44,0.18,41.66,5.44,Low risk zone,Construction of new schools,TRUE,4488.14,19.91,Decreasing,Good,757120.15,FALSE
3849,Rural Area G,21,0.75,16.85,4.39,Moderate risk zone,Renovation of public parks,TRUE,1541.67,47.89,Stable,Poor,704966.11,FALSE
4387,Rural Area G,18,0.32,42.67,5.84,Low risk zone,Renovation of public parks,FALSE,1066.5,93.6,Increasing,Good,956586.7,TRUE
7710,Countryside I,41,0.51,64.9,4.58,Moderate risk zone,Construction of new schools,TRUE,1411.83,62.93,Increasing,Good,771685.43,TRUE
8843,City A,42,0.51,92.33,8.8,Low risk zone,Expansion of public transportation system,FALSE,4217.58,50.68,Decreasing,Terrible,748307.43,TRUE
3708,Neighborhood F,30,0.38,18.07,9.48,Low risk zone,Construction of new schools,FALSE,2824.87,31.75,Decreasing,Average,366833.39,TRUE
6681,Suburb D,9,0.15,99.4,9.12,Low risk zone,Infrastructure development in rural areas,TRUE,2914.28,38.43,Increasing,Excellent,248661.45,TRUE
7298,Neighborhood F,33,0.78,24.76,4.15,Low risk zone,Expansion of public transportation system,TRUE,5800.22,73.74,Stable,Terrible,923009.95,FALSE
7750,Coastal Area J,44,0.54,83.81,9.44,High risk zone,Infrastructure development in rural areas,FALSE,5230.98,74.45,Stable,Excellent,642216.33,TRUE
7109,Coastal Area J,32,0.79,62.77,3.89,Moderate risk zone,Renovation of public parks,FALSE,9671.57,62.07,Stable,Average,235211.84,TRUE
5865,Village C,43,0.25,77.98,1.08,High risk zone,Construction of new schools,TRUE,9797.25,60.6,Decreasing,Average,41131.15,FALSE
2519,Rural Area G,17,0.12,67.95,5.37,High risk zone,Infrastructure development in rural areas,FALSE,8600.02,70.13,Increasing,Excellent,719137.42,FALSE
2850,Rural Area G,15,0.64,93.19,1.58,Moderate risk zone,Expansion of public transportation system,TRUE,4323.88,71.59,Decreasing,Excellent,935649.75,FALSE
6509,Village C,3,0.09,9.65,3.25,Moderate risk zone,Construction of new schools,FALSE,9929.46,19.71,Stable,Average,859860.77,FALSE
7999,Neighborhood F,4,0.54,46.34,0.9,High risk zone,Renovation of public parks,TRUE,3427.37,80.67,Increasing,Terrible,487271.7,TRUE
9140,Countryside I,34,0.81,24.39,0.36,Moderate risk zone,Construction of new schools,FALSE,2400.93,69.48,Increasing,Terrible,769638.66,TRUE
6671,Village C,35,0.59,0.07,9.31,High risk zone,Infrastructure development in rural areas,TRUE,8736.05,32.02,Increasing,Terrible,359055.48,FALSE
6534,Suburb D,34,0.33,41.44,7.96,Moderate risk zone,Infrastructure development in rural areas,FALSE,6604.86,63.13,Stable,Terrible,301143.91,FALSE
1339,City A,37,0.64,79.74,7.22,High risk zone,Construction of new schools,FALSE,2135,54.08,Stable,Good,271451.82,TRUE
7621,City A,49,0.95,17.76,6.81,Low risk zone,Expansion of public transportation system,TRUE,1143.02,94.65,Stable,Excellent,983529.28,FALSE
4595,Coastal Area J,34,0.76,8.14,1.15,Moderate risk zone,Expansion of public transportation system,TRUE,5863.08,84.96,Stable,Poor,712391.17,FALSE
3026,Coastal Area J,41,0.4,35.12,6.66,Moderate risk zone,Construction of new schools,FALSE,9900.54,88.3,Stable,Average,832348.61,FALSE
8516,Town B,16,0.01,45.37,7.6,Moderate risk zone,Expansion of public transportation system,FALSE,1386.83,27.55,Increasing,Terrible,63914.67,FALSE
9704,Suburb D,16,0.82,37.38,4.7,Low risk zone,Renovation of public parks,FALSE,9614.22,61.12,Decreasing,Poor,84916.36,FALSE
8983,Hamlet E,26,0.5,92.85,0.06,High risk zone,Infrastructure development in rural areas,FALSE,8162.64,46.37,Decreasing,Average,572416.99,FALSE
9769,Hamlet E,50,0.69,0.92,7.45,Low risk zone,Renovation of public parks,FALSE,9828.32,32.92,Decreasing,Excellent,455599.57,FALSE
4143,Town B,21,0.9,50.36,8.93,Low risk zone,Construction of new schools,FALSE,426.94,69.09,Increasing,Average,567720.07,FALSE
5726,Neighborhood F,21,0.81,75.65,9.04,Moderate risk zone,Expansion of public transportation system,TRUE,8903.71,36.12,Decreasing,Terrible,979484.33,TRUE
9309,City A,9,0.51,55.15,6.35,Moderate risk zone,Infrastructure development in rural areas,TRUE,7133.92,84.46,Increasing,Average,261125.72,FALSE
4359,Neighborhood F,49,0.8,42.16,4.44,Low risk zone,Infrastructure development in rural areas,FALSE,191.59,76.29,Decreasing,Terrible,44511.29,TRUE
7725,Village C,5,0.1,38.02,4.7,High risk zone,Construction of new schools,FALSE,5992.29,45.31,Decreasing,Poor,571784.92,TRUE
2859,Town B,44,0.31,34.93,9.58,High risk zone,Renovation of public parks,FALSE,6448.85,2.25,Decreasing,Average,63867.34,FALSE
4043,Urban Area H,37,0.64,27.35,2.75,Low risk zone,Infrastructure development in rural areas,FALSE,2493.23,48.55,Increasing,Good,439586.75,TRUE
2530,Rural Area G,11,0.73,38.79,2.11,High risk zone,Infrastructure development in rural areas,TRUE,5529.08,12.38,Decreasing,Poor,136794,FALSE
9298,Town B,9,0.35,70.37,8.75,High risk zone,Renovation of public parks,TRUE,8990.06,19.56,Decreasing,Poor,623354.09,TRUE
8839,Town B,2,0.28,56.74,3.43,Moderate risk zone,Expansion of public transportation system,TRUE,8010.19,2.58,Decreasing,Excellent,764207.02,FALSE
4776,Countryside I,47,0.9,45.95,1.85,Low risk zone,Infrastructure development in rural areas,TRUE,9713.27,52.62,Decreasing,Good,721036.31,TRUE
3045,Hamlet E,49,0.3,52.12,4.74,Moderate risk zone,Expansion of public transportation system,TRUE,4361.75,91.64,Stable,Terrible,590117.98,TRUE
4774,Village C,19,0.21,68.52,9.61,Low risk zone,Construction of new schools,FALSE,9195.39,73.39,Stable,Average,904350.27,FALSE
3445,Neighborhood F,49,0.53,24.32,0.09,High risk zone,Infrastructure development in rural areas,FALSE,1830.71,53.66,Stable,Good,635972.76,FALSE
5807,Urban Area H,31,0.72,5.2,9.13,Moderate risk zone,Expansion of public transportation system,FALSE,1175.03,90.27,Stable,Excellent,585853.5,TRUE
2314,Urban Area H,39,0.57,25.44,2.51,Low risk zone,Renovation of public parks,FALSE,520.56,3.19,Decreasing,Terrible,484068.38,TRUE
8683,Neighborhood F,13,0.45,53.79,1.78,Low risk zone,Expansion of public transportation system,FALSE,9355.68,75.24,Increasing,Good,920571.81,FALSE
1160,Countryside I,34,0.65,41.45,9.53,Low risk zone,Construction of new schools,TRUE,2066.78,82.93,Increasing,Terrible,591285.51,TRUE
6767,Rural Area G,25,0.28,1.49,6.72,Low risk zone,Renovation of public parks,TRUE,6558.96,32.91,Stable,Average,510866.51,TRUE
1778,Hamlet E,31,0.62,77.21,7.44,Low risk zone,Infrastructure development in rural areas,TRUE,2635.38,81.65,Decreasing,Good,793279.37,FALSE
8796,Village C,20,0.8,76.29,7.92,High risk zone,Construction of new schools,TRUE,5938.91,61.33,Increasing,Excellent,816939.86,FALSE
3964,Village C,4,0.16,54.39,1.61,Moderate risk zone,Expansion of public transportation system,FALSE,6361.75,52.99,Stable,Poor,966871.7,FALSE
8331,Village C,41,0.26,67.92,9.37,High risk zone,Construction of new schools,TRUE,1065.48,57.25,Decreasing,Average,941697.31,FALSE
8318,Urban Area H,44,0.8,38.87,1.8,Low risk zone,Infrastructure development in rural areas,FALSE,3194.89,53.49,Increasing,Excellent,514282.88,FALSE
3438,Suburb D,33,0.92,49.91,9.9,Low risk zone,Construction of new schools,TRUE,5338.66,54.7,Stable,Good,761074.59,FALSE
8143,Neighborhood F,22,0.42,94.22,6.98,Moderate risk zone,Construction of new schools,TRUE,6033.39,31.83,Increasing,Good,594038.86,FALSE
7550,Town B,27,0.93,83.04,8.23,High risk zone,Infrastructure development in rural areas,FALSE,5658.91,35.18,Stable,Terrible,184173.19,TRUE
